Date,Line,Direction,Start Hour,End Hour,Start Station,End Station,PHPDT
2026-01-30,1,UP,19:00,20:00,SAP,SME,658
2026-01-30,1,UP,19:00,20:00,SME,SOT,876
2026-01-30,1,UP,19:00,20:00,SOT,SAL,966
2026-01-30,1,UP,19:00,20:00,SAL,SGU,1912
2026-01-30,1,UP,19:00,20:00,SGU,SLM,2956
2026-01-30,1,UP,19:00,20:00,SLM,SSA,3558
2026-01-30,1,UP,19:00,20:00,SSA,SCR,3796
2026-01-30,1,UP,19:00,20:00,SCR,STE,6063
2026-01-30,1,UP,19:00,20:00,STE,SGM,6260
2026-01-30,1,UP,19:00,20:00,SGM,STL,6488
2026-01-30,1,UP,19:00,20:00,STL,SLI,7844
2026-01-30,1,UP,19:00,20:00,SLI,SGE,7989
2026-01-30,1,UP,19:00,20:00,SGE,SCC,7780
2026-01-30,1,UP,19:00,20:00,SCC,SHC,7494
2026-01-30,1,UP,19:00,20:00,SHC,SMA,7819
2026-01-30,1,UP,19:00,20:00,SMA,SWA,7635
2026-01-30,1,UP,19:00,20:00,SWA,STC,6814
2026-01-30,1,UP,19:00,20:00,STC,STR,6012
2026-01-30,1,UP,19:00,20:00,STR,SNW,5080
2026-01-30,1,UP,19:00,20:00,SNW,STG,4359
2026-01-30,1,UP,19:00,20:00,STG,SKP,4004
2026-01-30,1,UP,19:00,20:00,SKP,STT,3219
2026-01-30,1,UP,19:00,20:00,STT,STV,2186
2026-01-30,1,UP,19:00,20:00,STV,SWN,1515
2026-01-30,1,UP,19:00,20:00,SWN,SWD,730
2026-01-30,1,DOWN,09:00,10:00,SWD,SWN,1309
2026-01-30,1,DOWN,09:00,10:00,SWN,STV,2199
2026-01-30,1,DOWN,09:00,10:00,STV,STT,3039
2026-01-30,1,DOWN,09:00,10:00,STT,SKP,4163
2026-01-30,1,DOWN,09:00,10:00,SKP,STG,5134
2026-01-30,1,DOWN,09:00,10:00,STG,SNW,5607
2026-01-30,1,DOWN,09:00,10:00,SNW,STR,6418
2026-01-30,1,DOWN,09:00,10:00,STR,STC,7519
2026-01-30,1,DOWN,09:00,10:00,STC,SWA,8382
2026-01-30,1,DOWN,09:00,10:00,SWA,SMA,9838
2026-01-30,1,DOWN,09:00,10:00,SMA,SHC,10066
2026-01-30,1,DOWN,09:00,10:00,SHC,SCC,9498
2026-01-30,1,DOWN,09:00,10:00,SCC,SGE,14666
2026-01-30,1,DOWN,09:00,10:00,SGE,SLI,14247
2026-01-30,1,DOWN,09:00,10:00,SLI,STL,12610
2026-01-30,1,DOWN,09:00,10:00,STL,SGM,9724
2026-01-30,1,DOWN,09:00,10:00,SGM,STE,8781
2026-01-30,1,DOWN,09:00,10:00,STE,SCR,7472
2026-01-30,1,DOWN,09:00,10:00,SCR,SSA,6387
2026-01-30,1,DOWN,09:00,10:00,SSA,SLM,5941
2026-01-30,1,DOWN,09:00,10:00,SLM,SGU,5014
2026-01-30,1,DOWN,09:00,10:00,SGU,SAL,3897
2026-01-30,1,DOWN,09:00,10:00,SAL,SOT,4038
2026-01-30,1,DOWN,09:00,10:00,SOT,SME,1457
2026-01-30,1,DOWN,09:00,10:00,SME,SAP,1068
2026-01-30,2,UP,09:00,10:00,SMM,SAL,1374
2026-01-30,2,UP,09:00,10:00,SAL,SSI,3542
2026-01-30,2,UP,09:00,10:00,SSI,SAN,3208
2026-01-30,2,UP,09:00,10:00,SAN,SVA,3386
2026-01-30,2,UP,09:00,10:00,SVA,SAR,2686
2026-01-30,2,UP,09:00,10:00,SAR,SCM,2629
2026-01-30,2,UP,09:00,10:00,SCM,SKO,2639
2026-01-30,2,UP,09:00,10:00,SKO,STI,3129
2026-01-30,2,UP,09:00,10:00,STI,SAT,4708
2026-01-30,2,UP,09:00,10:00,SAT,SAE,4819
2026-01-30,2,UP,09:00,10:00,SAE,SSN,4823
2026-01-30,2,UP,09:00,10:00,SSN,SPC,4855
2026-01-30,2,UP,09:00,10:00,SPC,SKM,4900
2026-01-30,2,UP,09:00,10:00,SKM,SNP,4669
2026-01-30,2,UP,09:00,10:00,SNP,SEG,4578
2026-01-30,2,UP,09:00,10:00,SEG,SCC,4285
2026-01-30,2,DOWN,09:00,10:00,SCC,SEG,3354
2026-01-30,2,DOWN,09:00,10:00,SEG,SNP,3441
2026-01-30,2,DOWN,09:00,10:00,SNP,SKM,3363
2026-01-30,2,DOWN,09:00,10:00,SKM,SPC,3118
2026-01-30,2,DOWN,09:00,10:00,SPC,SSN,2841
2026-01-30,2,DOWN,09:00,10:00,SSN,SAE,2740
2026-01-30,2,DOWN,09:00,10:00,SAE,SAT,2684
2026-01-30,2,DOWN,09:00,10:00,SAT,STI,2538
2026-01-30,2,DOWN,09:00,10:00,STI,SKO,2914
2026-01-30,2,DOWN,09:00,10:00,SKO,SCM,3607
2026-01-30,2,DOWN,09:00,10:00,SCM,SAR,3975
2026-01-30,2,DOWN,09:00,10:00,SAR,SVA,4231
2026-01-30,2,DOWN,09:00,10:00,SVA,SAN,4106
2026-01-30,2,DOWN,09:00,10:00,SAN,SSI,4450
2026-01-30,2,DOWN,09:00,10:00,SSI,SAL,3521
2026-01-30,2,DOWN,09:00,10:00,SAL,SMM,2906
