Date,Total,noOfCards,noOfCumtaQR,noOfEventQR,noOfGroupCard,noOfJusPayQR,noOfMilesKilometersQR,noOfMobileQR,noOfNCMCcard,noOfONDCQR,noOfPaperQR,noOfPaytmQR,noOfPhonePeQR,noOfPromotionalRideQR,noOfRapidoQR,noOfRedBusQR,noOfSVC,noOfSVP,noOfStaticQR,noOfToken,noOfTotal_QR,noOfTouristCard,noOfTripcard,noOfUberQR,noOfWhatsAppQR
2026-01-24,300794,1437,5322,0,0,170,0,4802,129287,37320,71760,12868,9984,0,24824,1741,1437,1335,8519,12,170070,0,0,10585,18160
2026-01-25,200006,1069,4486,0,0,174,0,4012,54388,26641,68403,9575,8171,0,19258,1518,1069,1194,7492,0,144549,0,0,5691,14575
2026-01-26,216255,1191,4565,0,0,166,0,4000,70232,28010,66976,10048,8691,0,19442,1580,1191,728,6932,1,144832,0,0,6822,14882
2026-01-27,376120,1532,5289,0,0,157,0,4782,205999,41393,68335,12795,10553,0,24520,1514,1532,3143,8727,0,168589,0,0,15202,13572
2026-01-28,374338,1521,5165,0,0,163,0,4456,202343,41115,72520,11596,9622,0,24089,1465,1521,3834,8063,0,170474,0,0,15398,14103
2026-01-29,361630,1423,5021,0,0,147,0,4155,205414,39256,62473,11311,8874,0,22327,1462,1423,3827,7259,0,154793,0,0,15320,12617
2026-01-30,367521,1377,5280,0,0,152,0,4317,203304,40701,64928,11632,9994,0,23761,1411,1377,3880,7802,0,162840,0,0,15377,14306
2026-01-31,312121,1473,6013,0,0,155,0,5029,138447,39735,71352,12977,10077,0,26163,1848,1473,2491,9080,0,172201,0,0,11569,15447
2026-02-01,221760,1178,5393,0,0,224,0,4820,58556,30787,76460,11155,9609,0,22146,1775,1178,1370,8315,0,162026,0,0,6642,14117
2026-02-02,360890,1211,4753,0,0,167,0,4230,203860,40273,60591,11570,9670,0,22939,1416,1211,2807,7945,0,155819,0,0,15751,13980
2026-02-03,368064,1338,4916,0,0,146,0,4122,210554,39831,61734,11288,9111,0,23116,1427,1338,3615,6850,0,156172,0,0,15142,14705
2026-02-04,364319,1364,4992,0,0,123,0,3981,206540,40141,61294,11496,9028,0,22657,1358,1364,3868,7146,0,156415,0,0,16003,14469
2026-02-05,372258,1401,4732,0,0,145,0,4254,206857,41880,67405,11699,9737,0,24006,1505,1401,3867,4747,0,164000,0,0,16224,15679
2026-02-06,381003,1475,5670,0,0,198,0,4771,201497,42594,73114,12828,10724,0,24525,1672,1475,3806,6925,0,178031,0,0,16199,17599
